shortname;fullname;category_path;startdate;templatecourse;enrolment_1;enrolment_1_role
03-ACS-L-A1-S1-PCLP1-CA;03-ACS-L-A1-S1: Programarea calculatoarelor și limbaje de programare 1 (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PCLP1-CB;03-ACS-L-A1-S1: Programarea calculatoarelor și limbaje de programare 1 (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PCLP1-CC;03-ACS-L-A1-S1: Programarea calculatoarelor și limbaje de programare 1 (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PCLP1-CD;03-ACS-L-A1-S1: Programarea calculatoarelor și limbaje de programare 1 (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria CD;2021-10-04;CS1;manual;student
03-ACS-L-A1-S2-PCLP2-CA;03-ACS-L-A1-S2: Programarea calculatoarelor și limbaje de programare 2 (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-PCLP2-CB;03-ACS-L-A1-S2: Programarea calculatoarelor și limbaje de programare 2 (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-PCLP2-CC;03-ACS-L-A1-S2: Programarea calculatoarelor și limbaje de programare 2 (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-PCLP2-CD;03-ACS-L-A1-S2: Programarea calculatoarelor și limbaje de programare 2 (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CD;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-ELT-AA;03-ACS-L-A1-S2: Electrotehnică (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-ELT-AB;03-ACS-L-A1-S2: Electrotehnică (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-ELT-AC;03-ACS-L-A1-S2: Electrotehnică (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-ELT-CA;03-ACS-L-A1-S2: Electrotehnică (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-ELT-CB;03-ACS-L-A1-S2: Electrotehnică (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-ELT-CC;03-ACS-L-A1-S2: Electrotehnică (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-ELT-CD;03-ACS-L-A1-S2: Electrotehnică (Seria CD - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 2 / Seria CD;2022-02-28;CS2;manual;student
03-ACS-L-A1-S1-ISO-AA;03-ACS-L-A1-S1: Introducere în sisteme de operare (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-ISO-AB;03-ACS-L-A1-S1: Introducere în sisteme de operare (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-ISO-AC;03-ACS-L-A1-S1: Introducere în sisteme de operare (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S2-IAP3MD-AA;03-ACS-L-A1-S2: Informatică aplicată 3 (managementul documentelor) (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-IAP3MD-AB;03-ACS-L-A1-S2: Informatică aplicată 3 (managementul documentelor) (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A1-S2-IAP3MD-AC;03-ACS-L-A1-S2: Informatică aplicată 3 (managementul documentelor) (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A1-S1-IAP1IA-AA;03-ACS-L-A1-S1: Informatică aplicată 1 (introducere în automatică) (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-IAP1IA-AB;03-ACS-L-A1-S1: Informatică aplicată 1 (introducere în automatică) (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-IAP1IA-AC;03-ACS-L-A1-S1: Informatică aplicată 1 (introducere în automatică) (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PCLP-AA;03-ACS-L-A1-S1: Programarea calculatoarelor şi limbaje de programare (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PCLP-AB;03-ACS-L-A1-S1: Programarea calculatoarelor şi limbaje de programare (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A1-S1-PCLP-AC;03-ACS-L-A1-S1: Programarea calculatoarelor şi limbaje de programare (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
;;;;;;
03-ACS-M-A1-S1-CM-IMSA;03-ACS-M-A1-S1: Complemente de matematici (Seria IMSA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Inginerie și management / Anul 1 / Semestrul 1 / Seria IMSA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SADC-ISI;03-ACS-M-A1-S1: Sisteme adaptive şi colaborative (Seria ISI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria ISI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SADC-eGov;03-ACS-M-A1-S1: Sisteme adaptive şi colaborative (Seria eGov - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria eGov;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Sabd-ABD;03-ACS-M-A1-S1: Sisteme avansate de baze de date (Seria ABD - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria ABD;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Isbd-ABD;03-ACS-M-A1-S1: Implementarea sistemelor de baze de date (Seria ABD - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria ABD;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Dmdw-SEM;03-ACS-M-A1-S1: Data mining şi data warehousing (Seria SEM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SEM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SaV1-AAC;03-ACS-M-A1-S1: Structuri avansate vlsi (Seria AAC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria AAC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Ciblf-AAC;03-ACS-M-A1-S1: Circuite inteligente bazate pe logică fuzzy (Seria AAC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria AAC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-RC-IA;03-ACS-M-A1-S1: Reprezentarea cunoştinţelor (Seria IA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria IA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Dm-IA;03-ACS-M-A1-S1: Mineritul datelor (Seria IA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria IA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Mf-MTI;03-ACS-M-A1-S1: Management financiar (Seria MTI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria MTI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-GCO-G;03-ACS-M-A1-S1: Geometrie computaţională (Seria G - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria G;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Asac-SIC;03-ACS-M-A1-S1: Algoritmi şi structuri avansate de conducere (Seria SIC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-MACUN-SIC;03-ACS-M-A1-S1: Managementul cunoştinţelor (Seria SIC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Ppddc-SIC;03-ACS-M-A1-S1: Procesarea paralelă şi distribuită a datelor şi cunoştinţelor (Seria SIC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-TAIPS-CASTR;03-ACS-M-A1-S1: Tehnici avansate de identificare şi prelucrare de semnal (Seria CASTR - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria CASTR;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Ctss-AII;03-ACS-M-A1-S1: Complemente de teoria sistemelor şi semnalelor (Seria AII - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AII;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Sim-AII;03-ACS-M-A1-S1: Sisteme inteligente de măsură (Seria AII - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AII;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Tacp-AII;03-ACS-M-A1-S1: Tehnici avansate de conducere a proceselor (Seria AII - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AII;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Mssed-AII;03-ACS-M-A1-S1: Modelarea şi simularea sistemelor cu evenimente discrete (Seria AII - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AII;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Mapicai-PCSAM;03-ACS-M-A1-S1: Metode avansate de prelucrare a imaginilor complexe, analiza imaginilor 3d (Seria PCSAM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria PCSAM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Tcri-PCSAM;03-ACS-M-A1-S1: Tehnici de căutare şi regăsire a informaţiei (Seria PCSAM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria PCSAM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Tcri-MPI;03-ACS-M-A1-S1: Tehnici de căutare şi regăsire a informaţiei (Seria MPI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria MPI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Mfda-MPI;03-ACS-M-A1-S1: Modelarea fluxurilor de date şi de activităţi (Seria MPI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria MPI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Idmpmis-SIIA;03-ACS-M-A1-S1: Inginerie dirijată de modele pentru managementul informaţiilor şi al serviciilor (Seria SIIA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIIA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-NaSS-SEM;03-ACS-M-A1-S1: Network and systems security (Seria SEM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SEM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-IDMpAOS-MPI;03-ACS-M-A1-S1: Inginerie dirijată de modele pentru arhitecturi orientate pe servicii (Seria MPI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria MPI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-MFDRC-SIM;03-ACS-M-A1-S1: Modelarea fluxurilor de date şi reţele de calcul (Seria SIM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-MFDRC-AOSI;03-ACS-M-A1-S1: Modelarea fluxurilor de date şi reţele de calcul (Seria AOSI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AOSI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SSDE-SIC;03-ACS-M-A1-S1: Sisteme suport decizie (Seria SIC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SSDE-IMSA;03-ACS-M-A1-S1: Sisteme suport decizie (Seria IMSA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Inginerie și management / Anul 1 / Semestrul 1 / Seria IMSA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-MPIN-SIIA;03-ACS-M-A1-S1: Managementul proiectelor informatice (Seria SIIA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIIA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-MPIN-IMSA;03-ACS-M-A1-S1: Managementul proiectelor informatice (Seria IMSA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Inginerie și management / Anul 1 / Semestrul 1 / Seria IMSA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Scism-SIIA;03-ACS-M-A1-S1: Sisteme de control inteligent şi sisteme multi-agent (Seria SIIA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIIA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Ssi-MPI;03-ACS-M-A1-S1: Securitatea sistemelor informatice (Seria MPI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria MPI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Ssi-ABD;03-ACS-M-A1-S1: Securitatea sistemelor informatice (Seria ABD - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria ABD;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-Ssi-AOSI;03-ACS-M-A1-S1: Securitatea sistemelor informatice (Seria AOSI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AOSI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-RCN-ISI;03-ACS-M-A1-S1: Reprezentarea cunoştinţelor (Seria ISI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria ISI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-TSAFPr-G;03-ACS-M-A1-S1: Sisteme de tipuri şi programare funcţională (Seria G - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria G;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-ECISIM-SIM;03-ACS-M-A1-S1: Echipamente complexe de investigaţie în sisteme informatice în medicină (Seria SIM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SMAIPAA-SIM;03-ACS-M-A1-S1: Sisteme multi-agent inteligente pentru asistenţa ambientală (Seria SIM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-HPCSIM-SIM;03-ACS-M-A1-S1: HPC (High Performance Computing) în sisteme informatice în medicină (Seria SIM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SCRDAP-AOSI;03-ACS-M-A1-S1: SCADA şi reţele de automate (Seria AOSI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AOSI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-PACTR-CASTR;03-ACS-M-A1-S1: Proiectarea aplicaţiilor de conducere în timp real (Seria CASTR - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria CASTR;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-PDSPVATRe-PCSAM;03-ACS-M-A1-S1: Procesoare digitale de semnal şi prelucrarea video şi audio în timp real (Seria PCSAM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria PCSAM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-PASTO-PCSAM;03-ACS-M-A1-S1: Prelucrare avansată a semnalelor prin transformate ortogonale (Seria PCSAM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria PCSAM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-AOSTW-PCSAM;03-ACS-M-A1-S1: Arhitecturi orientate pe servicii şi tehnologii WEB (Seria PCSAM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria PCSAM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-MFO-IMSA;03-ACS-M-A1-S1: Managementul fluxurilor de operaţii (Seria IMSA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Inginerie și management / Anul 1 / Semestrul 1 / Seria IMSA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-MSi-MTI;03-ACS-M-A1-S1: Managementul securității informaţiei (Seria MTI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria MTI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SCAR-SRIC;03-ACS-M-A1-S1: Securitatea calculatoarelor şi a reţelelor (Seria SRIC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria SRIC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SRE-SRIC;03-ACS-M-A1-S1: Securizarea reţelelor cu echipamente dedicate (Seria SRIC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria SRIC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-TCS-G;03-ACS-M-A1-S1: Tehnici de comunicare şi scriere tehnică (Seria G - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria G;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-ClCo-eGov;03-ACS-M-A1-S1: Sisteme de calcul Cloud (Seria eGov - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria eGov;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-ClCo-SSA;03-ACS-M-A1-S1: Sisteme de calcul Cloud (Seria SSA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria SSA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-FSSe-SSA;03-ACS-M-A1-S1: Fundamentele ştiinţei serviciilor (Seria SSA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria SSA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-EGo-eGov;03-ACS-M-A1-S1: E-Guvernare (Seria eGov - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria eGov;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-PPa-SCPD;03-ACS-M-A1-S1: Parallel programming (Seria SCPD - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria SCPD;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SCr-SCPD;03-ACS-M-A1-S1: Securitatea calculatoarelor şi reţelelor (Seria SCPD - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria SCPD;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-IRV-GMRV;03-ACS-M-A1-S1: Introducere în Realitatea Virtuală (Seria GMRV - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria GMRV;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-DRWADP-AOSI;03-ACS-M-A1-S1: Dispozitive şi reţele wireless pentru automatizare dirijată de produs (Seria AOSI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AOSI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-MCMPA-AOSI;03-ACS-M-A1-S1: Managementul cerinţelor şi modelarea proceselor de afaceri (Seria AOSI - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria AOSI;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-EC-SC;03-ACS-M-A1-S1: Evolutionary computing (Seria SC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-CV-IA;03-ACS-M-A1-S1: Computer vision (Seria IA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria IA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-ASIOS-SEM;03-ACS-M-A1-S1: Architecture of service oriented information syste... (Seria SEM - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SEM;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-MFA-SIIA;03-ACS-M-A1-S1: Managementul fluxurilor de activități (Seria SIIA - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SIIA;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-ICS-SC;03-ACS-M-A1-S1: Introduction to Complex Systems (Seria SC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SW-SC;03-ACS-M-A1-S1: Scientific Writing (Seria SC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-SoSMA-SC;03-ACS-M-A1-S1: System-of-Systems Modeling and Analysis (Seria SC - 2021);03. Automatică şi Calculatoare / Master / Domeniul Ingineria sistemelor / Anul 1 / Semestrul 1 / Seria SC;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-DC-G;03-ACS-M-A1-S1: Datacenter computing (Seria G - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria G;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-IBD-ABD;03-ACS-M-A1-S1: Introduction to Big Data (Seria ABD - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria ABD;2021-10-04;CS1;manual;student
03-ACS-M-A1-S1-IBD-SCPD;03-ACS-M-A1-S1: Introduction to Big Data (Seria SCPD - 2021);03. Automatică şi Calculatoare / Master / Domeniul Calculatoare şi tehnologia informaţiei / Anul 1 / Semestrul 1 / Seria SCPD;2021-10-04;CS1;manual;student
